		Perimeter	Area	P/A ratio	[min circle]	Radius	Area	[Rect]	Width	Height	W/H ratio	Area	[min rect]	Area		Primary				
005-02-F		27.0762	31.8339	1.1757		3.6309	41.4178		6.9524	6.619	1.0504	46.0181		45.0828		(234, 114)	(306, 164)	(270, 248)	(183, 241)	(161, 156)
005-03-F		30.1468	38.0329	1.2616		3.933	48.5962		7.5872	7.3309	1.035	55.6216		53.6382		(239, 118)	(314, 165)	(285, 253)	(195, 251)	(166, 164)
023-03-F		21.3235	22.9362	1.0756		3.0823	29.8476		5.9136	5.8072	1.0183	34.3412		31.4163		(229, 122)	(300, 161)	(277, 246)	(185, 243)	(162, 163)
023-04-F		20.9926	24.1292	1.1494		3.1207	30.5943		5.9136	5.7647	1.0258	34.0896		32.6206		(227, 116)	(299, 166)	(274, 248)	(185, 250)	(154, 166)
036-02-F		21.9203	18.2079	0.8306		2.7965	24.5691		5.1305	5.1089	1.0042	26.211		25.761		(234, 125)	(301, 175)	(272, 250)	(189, 252)	(165, 173)
031-01-F		26.534	23.2977	0.878		3.3639	35.5488		5.974	5.8907	1.0141	35.1911		33.3632		(242, 120)	(307, 171)	(285, 250)	(196, 249)	(172, 167)
031-02-F		24.6664	21.0504	0.8534		3.0171	28.5981		5.6789	5.5789	1.0179	31.6817		30.254		(242, 116)	(309, 165)	(287, 243)	(204, 250)	(177, 166)
042-01-F		26.9126	31.7378	1.1793		3.5292	39.1296		6.6566	6.7053	0.9927	44.6344		43.8101		(226, 122)	(291, 173)	(268, 254)	(185, 251)	(156, 175)
042-02-F		29.1376	37.0696	1.2722		3.832	46.1308		7.2227	7.2477	0.9966	52.3485		50.9826		(227, 117)	(297, 181)	(263, 262)	(179, 261)	(156, 176)
045-01-F		26.0617	24.4568	0.9384		3.1967	32.1043		5.9783	6.087	0.9821	36.3894		35.0112		(241, 123)	(310, 173)	(279, 249)	(199, 250)	(172, 174)
045-03-F		23.328	17.0422	0.7305		2.6526	22.1045		5.0042	5.0433	0.9922	25.2381		24.1275		(245, 124)	(303, 178)	(275, 244)	(197, 243)	(174, 167)
053-02-F		22.9181	26.396	1.1518		3.3904	36.1117		5.7365	6.4268	0.8926	36.8669		36.2238		(228, 115)	(289, 170)	(275, 253)	(191, 254)	(170, 171)
055-01-F		22.8699	25.6657	1.1222		3.213	32.432		6.2028	5.9375	1.0447	36.8293		34.424		(234, 122)	(307, 172)	(274, 248)	(184, 251)	(155, 164)
055-02-F		22.6951	25.39	1.1187		3.2478	33.139		6.1237	5.8946	1.0389	36.0963		34.2698		(233, 124)	(308, 168)	(276, 250)	(188, 250)	(156, 167)
056-05-F		20.3272	21.2147	1.0437		2.9266	26.908		5.4808	5.3269	1.0289	29.1956		28.493		(222, 125)	(303, 171)	(269, 251)	(183, 253)	(150, 179)
057-01-F		19.0882	22.9301	1.2013		3.0472	29.171		5.5856	5.6291	0.9923	31.4421		31.1143		(232, 126)	(297, 173)	(273, 244)	(197, 243)	(168, 174)
057-02-F		20.5561	24.5903	1.1963		3.1687	31.5443		5.8333	5.8542	0.9964	34.1493		33.5898		(234, 115)	(298, 160)	(278, 245)	(185, 245)	(163, 168)
062-01-F		14.4432	12.5065	0.8659		2.1806	14.9386		4.2261	4.0478	1.0441	17.1062		16.2875		(240, 126)	(299, 169)	(277, 236)	(203, 235)	(179, 167)
062-02-F		15.6769	15.2182	0.9707		2.4301	18.5521		4.6835	4.5256	1.0349	21.1957		19.9855		(229, 121)	(299, 184)	(260, 253)	(181, 248)	(160, 168)
