		Perimeter	Area	P/A ratio	[min circle]	Radius	Area	[Rect]	Width	Height	W/H ratio	Area	[min rect]	Area		Primary				
017-01-S		23.7671	12.3864	0.5212		3.6198	41.1634		6.2105	6.4737	0.9593	40.205		31.1397		(149, 181)	(302, 141)	(303, 190)	(315, 253)	(174, 190)
017-02-S		23.4994	12.3305	0.5247		3.7155	43.3689		6.2927	6.6829	0.9416	42.0535		29.5337		(125, 174)	(294, 135)	(296, 191)	(307, 261)	(148, 188)
018-03-S		18.9534	10.7244	0.5658		3.2858	33.9175		6.0837	4.616	1.318	28.0824		25.6468		(98, 215)	(275, 133)	(288, 193)	(325, 271)	(131, 227)
018-04-S		18.7482	10.3017	0.5495		3.232	32.8172		6.0388	4.1792	1.445	25.2371		23.2627		(103, 219)	(290, 143)	(306, 196)	(340, 277)	(132, 231)
023-04-S		22.8199	14.1762	0.6212		3.8063	45.5153		7.1609	5.1614	1.3874	36.96		30.1004		(110, 225)	(273, 150)	(297, 193)	(337, 278)	(131, 239)
024-01-S		22.6463	13.5116	0.5966		3.3089	34.3963		6.24	5.04	1.2381	31.4496		28.3044		(111, 264)	(272, 135)	(316, 168)	(350, 262)	(139, 288)
031-01-S		19.8773	12.1979	0.6137		3.426	36.8743		6.4187	4.6791	1.3718	30.0336		26.4879		(85, 196)	(278, 146)	(307, 194)	(318, 281)	(110, 219)
005-02-S		23.0696	12.8726	0.558		3.7459	44.0821		6.8155	5.6611	1.2039	38.583		30.0248		(111, 231)	(277, 137)	(317, 190)	(358, 275)	(139, 243)
050-04-S		21.1187	11.6882	0.5535		3.3917	36.1398		6.3456	5.1418	1.2341	32.6278		32.6278		(108, 211)	(297, 132)	(326, 195)	(350, 289)	(137, 226)
127-01-S		21.3495	17.4513	0.8174		3.7396	43.9347		6.5729	5.9481	1.105	39.0968		39.0968		(157, 292)	(254, 128)	(307, 169)	(346, 221)	(173, 308)
099-01-S		21.5537	13.1893	0.6119		3.485	38.155		5.2093	5.8605	0.8889	30.5289		30.5289		(127, 140)	(313, 136)	(330, 190)	(323, 275)	(154, 158)
112-02-S		19.3574	9.9133	0.5121		3.2041	32.2519		5.6349	5.0669	1.1121	28.5514		28.5514		(159, 278)	(273, 138)	(303, 170)	(343, 238)	(180, 295)
